Keyword,Seller_Name,Card_Title,Card_URL,Price_CNY,End_Time,Scrape_Time,Is_Bid
24-25 prizm 凯里 欧文,徐阿姨爱玩卡 (701),2024-25 Panini Prizm NBA Kyrie Irving RC 凯里欧文 独行侠 收藏凑套 卡品如图 免费代拍CC05,https://www.cardhobby.com.cn/market/item/122300237,1.0,03小时 11分,1783913547,否
24-25 prizm 凯里 欧文,西子球星卡代拍 (6908),【西子拍卖】2024-25 PANINI PRIZM PZ KYRIE IRVING 独行侠 凯里 欧文 160/299编 红折 折射 微瑕如图 PNA10,https://www.cardhobby.com.cn/market/item/122418127,1.0,09小时 08分,1783913547,否
24-25 prizm 凯里 欧文,嘎嘎顶呱呱- (3772),2024-25 Prizm 班切罗 烟花特卡 杜伦 胖虎 布泽利斯 新秀RC 里萨谢 萨尔 特卡 凯里 欧文 等9张打包 图图,https://www.cardhobby.com.cn/market/item/122845606,1.0,12小时 30分,1783913547,否
24-25 prizm 凯里 欧文,内马尔的老弟 (612),2024-25 panini prizm deca Kyrie Irving 凯里 欧文 独行侠 PZ 全明星 柒仟,https://www.cardhobby.com.cn/market/item/122631001,1.0,01天 08小时,1783913547,否
24-25 prizm 凯里 欧文,ahua阿花 (8715),【小花猪代卖】 2024-25 Panini Prizm Kyrie Irving 凯里 欧文 88编 PSA10分 龙纹折 独行侠 评级卡 东欧组合 另外一张连号在拍（air,https://www.cardhobby.com.cn/market/item/122527088,6.0,01天 09小时,1783913547,否
24-25 prizm 凯里 欧文,LA拍卖 (251157),【LA拍卖】24-25 Panini Prizm Monopoly Kyrie Irving 凯瑞 凯里 欧文 欧神仙 德鲁大叔 联盟顶级后卫 独行侠 篮网 凯尔特人 骑士 金Shimmer折 base /500编 PSA10分  B20D,https://www.cardhobby.com.cn/market/item/122016230,223.0,01天 09小时,1783913547,否
24-25 prizm 凯里 欧文,LA拍卖 (251157),【LA拍卖】2024-25 Panini Prizm Kyrie Irving 凯瑞 凯里 欧文 欧神仙 德鲁大叔 联盟顶级后卫 独行侠 篮网 凯尔特人 骑士 银折 Sublime 崇高走秀特卡 超大比例 SSP 箱货 B20D,https://www.cardhobby.com.cn/market/item/122016073,200.0,01天 09小时,1783913547,否
24-25 prizm 凯里 欧文,LA拍卖 (251157),【LA拍卖】24-25 Panini Prizm Deca Kyrie Irving 复刻PZ 凯瑞 凯里 欧文 欧神仙 联盟顶级后卫 独行侠 篮网 凯尔特人 骑士 MOJO折 Downtown Bound 特卡 25/25尾编 B20D,https://www.cardhobby.com.cn/market/item/122015942,60.0,01天 09小时,1783913547,否
24-25 prizm 凯里 欧文,大腿代卖球星卡 (111122),【大腿代卖】Kyrie Irving 凯里欧文 2024-25 Panini Prizm PZ Sublime 崇高 走秀特卡 折射 大比例 SSP 全套在拍 独行侠队 欧神仙 德鲁大叔/瑕疵见详图/9896ltc/a49,https://www.cardhobby.com.cn/market/item/122846849,1.0,03天 08小时,1783913547,否
24-25 prizm 凯里 欧文,大腿代卖球星卡 (111122),【大腿代卖精品】Kyrie Irving 凯里欧文 Kevin Durant 杜兰特 2024-25 Prizm Black 全明星 Color Blast 泼墨特卡 大比例 SSP 骑士 雷霆/PSA10分瑕疵见详图/9890hdj/43,https://www.cardhobby.com.cn/market/item/122861899,1.0,03天 10小时,1783913547,否
24-25 prizm 凯里 欧文,云猫拍卖行 (40499),2024-25 Panini Prizm【云猫代卖】杜蕾斯op 一图打包不保卡品 lot 6张新秀RC 戴维斯 凯文加内特 里夫斯 凯里欧文 申京 杰伦威尔斯 约什吉迪 朱利叶斯欧文 大白欧皇Q63,https://www.cardhobby.com.cn/market/item/122557986,1.0,05天 10小时,1783913547,否
